Device ID,Build Date,Cookie Ver,Session ID,Play Mode,Language,Event ID,Time Taken,Result,Age,Session Total Time,Total Correct,Total Wrong
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,T_Tutorial,00:00:11,Correct,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,T2_Tutorial,00:03:01,Correct,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,1A_Premath,00:00:21,Correct,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,1B_Premath,00:00:41,Correct,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,1C_Order_By_Size,00:00:25,Correct,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,1D_Premath,00:00:06,Correct,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,1E_Premath,00:00:24,Correct,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,2A_Length,00:00:21,Correct,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,2B_Patterns,00:00:22,Incorrect,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,2C_Length,00:00:02,Correct,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,2D_Number_Sense,00:00:20,Correct,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,2E_Add_Subtract,00:00:17,Correct,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,3A_Number_Sense,00:00:13,Incorrect,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,3B_Patterns,00:00:17,Incorrect,15,00:09:17,11,4
WCI4UI9H,2015-04-02,13,UU1Y0,play all,kn-in,3C_Add_Subtract,00:00:16,Incorrect,15,00:09:17,11,4
8DJ32XBN,2015-04-02,13,7MFNA,play all,kn-in,T_Tutorial,00:00:06,Correct,21,00:01:20,4,1
8DJ32XBN,2015-04-02,13,7MFNA,play all,kn-in,T2_Tutorial,00:00:07,Correct,21,00:01:20,4,1
8DJ32XBN,2015-04-02,13,7MFNA,play all,kn-in,1A_Premath,00:00:13,Correct,21,00:01:20,4,1
8DJ32XBN,2015-04-02,13,7MFNA,play all,kn-in,1B_Premath,00:00:31,Correct,21,00:01:20,4,1
8DJ32XBN,2015-04-02,13,7MFNA,play all,kn-in,1C_Order_By_Size,00:00:23,Incorrect,21,00:01:20,4,1
